sku,titel,tekstbron,woorden,afbeeldingen,gewicht_g,prijs,prijs_regulier,prijs_actie,op_voorraad
wpi1kgx2,Pure Whey Isolate 2KG,Pure Whey Isolate,339,1,2000,82.90,82.90,82.90,ja
lmps1kg,Les Mills Protein Shake 1kg,GEEN TEKST,0,1,1000,45.00,45.00,33.75,nee
bar-peanutcaramel,Peanut Caramel 12 repen,Peanut Caramel Protein Bar,244,1,,24.95,24.95,17.46,nee
collageen-250gr-tropical,Collagen Tropical 250 gram,Collagen Flavoured,745,1,250,18.71,18.71,13.10,nee
collageen-250gr-red-fruit,Collagen Red Fruit 250 gram,Collagen Flavoured,745,1,250,18.71,18.71,13.10,nee
collageen-250gr-citrus,Collagen Citrus 250 gram,Collagen Flavoured,745,1,250,18.71,18.71,13.10,nee
vitaminde-d3-240st,Vitamine D3 240 st.,Vitamine D3,246,1,,10.27,10.27,6.15,ja
bakeiwit-neutraal1kg,Bakeiwit Neutraal 1 kilo,Bakeiwit,559,1,1000,46.83,46.83,46.83,ja
bakeiwit-speculoos1kg,Bakeiwit Speculoos 1 kilo,Bakeiwit,559,1,1000,46.83,46.83,46.83,ja
protein-water-peach,Protein Water Peach 6-pack,Protein Water,277,1,,16.04,16.04,8.02,nee
protein-water-citrus,Protein Water Citrus 6-pack,Protein Water,277,1,,16.04,16.04,8.02,nee
bakeiwit-neutraal,Bakeiwit Neutraal 300 gram,Bakeiwit,559,1,300,14.95,14.95,14.95,ja
bakeiwit-speculoos,Bakeiwit Speculoos 300 gram,Bakeiwit,559,1,300,14.95,14.95,14.95,ja
bakeiwit-chocolade1kg,Bakeiwit Chocolade 1 kilo,Bakeiwit,559,1,1000,46.73,46.73,46.73,ja
bakeiwit-vanille1kg,Bakeiwit Vanille 1 kilo,Bakeiwit,559,1,1000,46.73,46.73,46.73,ja
bakeiwit-chocolade,Bakeiwit Chocolade 300 gram,Bakeiwit,559,1,300,14.95,14.95,14.95,ja
bakeiwit-vanille 300,Bakeiwit Vanille 300 gram,Bakeiwit,559,1,300,14.95,14.95,14.95,ja
shot-van,Vanilla Shot,eigen pagina,206,2,,4.95,4.95,3.96,ja
creatine-500gr,Creatine 500 gram,Creatine Monohydraat,268,1,500,13.95,13.95,13.95,ja
